player_id,modalidade,data_referencia,rating_atual,rating_melhor,data_rating_melhor,vitorias,derrotas,empates
43499854,rapid,2026-01-19,2622,2656.0,2025-06-26,1112,716,128
43499854,blitz,2026-01-19,2781,2967.0,2025-12-23,5419,5444,714
43499854,bullet,2026-01-19,3167,3410.0,2026-01-11,26575,17892,2136
47092728,rapid,2026-01-19,2499,2758.0,2020-08-29,188,89,57
47092728,blitz,2026-01-19,3009,3113.0,2025-06-04,4119,2328,665
47092728,bullet,2026-01-19,3160,3209.0,2025-12-16,4694,3807,505
37620822,rapid,2026-01-19,1947,1964.0,2023-02-04,467,353,66
37620822,blitz,2026-01-19,2191,2192.0,2025-08-29,2853,3197,396
37620822,bullet,2026-01-19,3150,3196.0,2025-09-28,5081,5293,501
158597961,rapid,2026-01-19,2437,2464.0,2025-05-16,640,801,100
158597961,blitz,2026-01-19,2684,2771.0,2025-08-01,2268,2413,343
158597961,bullet,2026-01-19,3148,3163.0,2026-01-19,3627,3944,505
51814804,rapid,2026-01-19,2432,2432.0,2021-01-15,249,137,37
51814804,blitz,2026-01-19,2772,2788.0,2022-04-28,932,814,153
51814804,bullet,2026-01-19,3147,3151.0,2023-07-20,4111,3511,386
5081249,rapid,2026-01-19,2407,2479.0,2020-12-19,22,12,7
5081249,blitz,2026-01-19,3007,3010.0,2025-07-14,5535,4967,1090
5081249,bullet,2026-01-19,3142,3176.0,2025-12-24,1797,1360,209
48765560,rapid,2026-01-19,2337,2402.0,2023-03-08,32,26,10
48765560,blitz,2026-01-19,3089,3124.0,2026-01-06,4359,3200,702
48765560,bullet,2026-01-19,3140,3241.0,2025-11-22,5785,5011,558
47102936,rapid,2026-01-19,1985,,,0,1,0
47102936,blitz,2026-01-19,3064,3077.0,2025-12-18,554,469,115
47102936,bullet,2026-01-19,3138,3241.0,2025-12-14,3400,2254,458
341886071,rapid,2026-01-19,2417,2417.0,2025-06-01,12,9,4
341886071,blitz,2026-01-19,2849,3091.0,2025-10-16,2309,2304,519
341886071,bullet,2026-01-19,3125,3325.0,2025-10-12,3242,2208,285
22639240,rapid,2026-01-19,2624,2694.0,2023-08-22,141,87,83
22639240,blitz,2026-01-19,3004,3073.0,2025-01-21,2460,1377,549
22639240,bullet,2026-01-19,3125,3196.0,2026-01-17,5797,3918,815
23583280,rapid,2026-01-19,2273,2597.0,2020-09-25,52,36,13
23583280,blitz,2026-01-19,2887,2995.0,2025-08-21,2650,1968,401
23583280,bullet,2026-01-19,3120,3127.0,2026-01-15,6581,5306,852
55213504,rapid,2026-01-19,2459,2459.0,2024-08-20,41,27,5
55213504,blitz,2026-01-19,2998,3086.0,2025-07-21,593,315,72
55213504,bullet,2026-01-19,3117,3212.0,2025-07-28,947,478,67
